GROUPED BY YEAR AND SORTED BY POSITION,,,,,,,,,,,,,,,SORTED ALPHABETICALLY,,,,,,,,,,,,,,,GROUPED BY POSITION AND SORTED BY YEAR,,,,,,,,,,,,,
#,Name,Votes,Year,Single#,Change,Group,Membership,Birthdate,CurrentAge,SenbatsuAge,Blood,Birthplace,CurrentAge,,#,Name,Votes,Year,Single#,Change,Group,Membership,Birthdate,CurrentAge,SenbatsuAge,Blood,Birthplace,CurrentAge,,#,Name,Votes,Year,Single#,Change,Group,Membership,Birthdate,CurrentAge,SenbatsuAge,Blood,Birthplace,CurrentAge
73,Yakata Miki,10733,2014,37,REENTER,NMB48,Upcoming Girls Member,1992/06/29,25,22,O,Oita,"25 Years, 7 Months, 8 Days",,91,Nakanishi Chiyori,9961,2016,45,NEW,AKB48,No Membership,1995/05/12,22,21,O,Fukuoka,"22 Years, 8 Months, 25 Days",,36,Yamauchi Suzuran,1945,2010,17,NEW,AKB48,Undergirls Member,1994/12/08,23,15,O,Chiba,"23 Years, 1 Months, 29 Days"
74,Abiru Riho,10092,2014,37,NEW,SKE48,Upcoming Girls Member,1993/07/17,24,20,B,Aichi,"24 Years, 6 Months, 20 Days",,63,Nakanishi Yuka,5592,2012,27,NEW,SKE48,Future Girls Member,1989/01/24,28,23,A,Aichi,"29 Years, 0 Months, 13 Days",,36,Suda Akari,5343,2011,22,NEW,SKE48,Undergirls Member,1991/10/31,26,19,A,Aichi,"26 Years, 3 Months, 6 Days"
75,Saito Makiko,10089,2014,37,-33,SKE48,Upcoming Girls Member,1994/06/28,23,20,A,Osaka,"23 Years, 7 Months, 9 Days",,64,Nakanishi Yuka,11602,2013,32,-1,SKE48,Future Girls Member,1989/01/24,28,24,A,Aichi,"29 Years, 0 Months, 13 Days",,36,Nakaya Sayaka,8505,2012,27,NEW,AKB48,Next Girls Member,1991/10/15,26,20,B,Iwate,"26 Years, 3 Months, 22 Days"
76,Ogasawara Mayu,9946,2014,37,-22,SKE48,Upcoming Girls Member,1994/04/11,23,20,A,Osaka,"23 Years, 9 Months, 26 Days",,85,Nakano Ikumi,13695,2017,49,NEW,AKB48,No Membership,2000/08/20,17,16,**,Tottori,"17 Years, 5 Months, 17 Days",,36,Kuramochi Asuka,18435,2013,32,-14,AKB48,Next Girls Member,1989/09/11,28,23,A,Kanagawa,"28 Years, 4 Months, 26 Days"
77,Kobayashi Ami,9931,2014,37,-30,AKB48,Upcoming Girls Member,1993/01/12,25,21,O,Aichi,"25 Years, 0 Months, 25 Days",,37,Nakata Chisato,8315,2012,27,NEW,AKB48,Next Girls Member,1990/10/08,27,21,A,Saitama,"27 Years, 3 Months, 29 Days",,36,Kojima Mako,20414,2014,37,NEW,AKB48,Next Girls Member,1997/05/30,20,17,O,Tokyo,"20 Years, 8 Months, 7 Days"
78,Miyazaki Miho,9674,2014,37,REENTER,SKE48,Upcoming Girls Member,1993/07/30,24,20,O,Tokyo,"24 Years, 6 Months, 7 Days",,36,Nakaya Sayaka,8505,2012,27,NEW,AKB48,Next Girls Member,1991/10/15,26,20,B,Iwate,"26 Years, 3 Months, 22 Days",,36,Jonishi Kei,21135,2015,41,22,NMB48,Next Girls Member,1995/03/18,22,20,A,Shiga,"22 Years, 10 Months, 19 Days"
79,Komada Hiroka,9609,2014,37,NEW,AKB48,Upcoming Girls Member,1996/11/21,21,17,A,Miyazaki,"21 Years, 2 Months, 16 Days",,41,Nishigata Marina,24401,2017,49,NEW,NGT48,Next Girls Member,1995/10/16,22,21,O,Tokyo,"22 Years, 3 Months, 21 Days",,36,Motomura Aoi,25613,2016,45,12,HKT48,Next Girls Member,1997/05/31,20,19,A,Fukuoka,"20 Years, 8 Months, 6 Days"
80,Oshima Ryoka,9561,2014,37,-51,HKT48,Upcoming Girls Member,1998/10/21,19,15,O,Kanagawa,"19 Years, 3 Months, 16 Days",,62,Nishino Miki,12824,2014,37,NEW,NMB48,Future Girls Member,1999/04/04,18,15,O,Shizuoka,"18 Years, 10 Months, 2 Days",,36,Ego Yuna,25731,2017,49,-1,SKE48,Next Girls Member,2000/03/29,17,17,O,Aichi,"17 Years, 10 Months, 8 Days"
1,Sashihara Rino,194049,2015,41,1,HKT48,Senbatsu Center,1992/11/21,25,22,O,Oita,"25 Years, 2 Months, 16 Days",,61,Nishino Miki,16548,2016,45,REENTER,AKB48,Future Girls Member,1999/04/04,18,17,O,Shizuoka,"18 Years, 10 Months, 2 Days",,37,Katayama Haruka,1935,2010,17,-9,AKB48,Undergirls Member,1990/05/10,27,20,A,Aichi,"27 Years, 8 Months, 27 Days"
2,Kashiwagi Yuki,167183,2015,41,1,AKB48,Senbatsu Member,1991/07/15,26,23,A,Kagoshima,"26 Years, 6 Months, 22 Days",,29,Nito Moeno,2693,2010,17,NEW,AKB48,Undergirls Member,1992/07/22,25,17,AB,Aichi,"25 Years, 6 Months, 15 Days",,37,Maeda Ami,5220,2011,22,NEW,AKB48,Undergirls Member,1995/06/01,22,16,O,Tokyo,"22 Years, 8 Months, 5 Days"
3,Watanabe Mayu,165789,2015,41,-2,AKB48,Senbatsu Member,1994/03/26,23,21,A,Saitama,"23 Years, 10 Months, 11 Days",,31,Nito Moeno,6288,2011,22,-2,AKB48,Undergirls Member,1992/07/22,25,18,AB,Aichi,"25 Years, 6 Months, 15 Days",,37,Nakata Chisato,8315,2012,27,NEW,AKB48,Next Girls Member,1990/10/08,27,21,A,Saitama,"27 Years, 3 Months, 29 Days"
4,Takahashi Minami,137252,2015,41,5,AKB48,Senbatsu Member,1991/04/08,26,24,AB,Tokyo,"26 Years, 9 Months, 29 Days",,55,Nito Moeno,6025,2012,27,-24,AKB48,Future Girls Member,1992/07/22,25,19,AB,Aichi,"25 Years, 6 Months, 15 Days",,37,Kodama Haruka,18145,2013,32,NEW,HKT48,Next Girls Member,1996/09/19,21,16,O,Fukuoka,"21 Years, 4 Months, 18 Days"
5,Matsui Jurina,105289,2015,41,-1,SKE48,Senbatsu Member,1997/03/08,20,18,B,Aichi,"20 Years, 10 Months, 29 Days",,85,Noguchi Yume,12284,2016,45,NEW,SKE48,No Membership,1998/04/17,19,18,A,Aichi,"19 Years, 9 Months, 20 Days",,37,Furukawa Airi,19315,2014,37,-10,SKE48,Next Girls Member,1989/12/13,28,24,AB,Aichi,"28 Years, 1 Months, 24 Days"
6,Yamamoto Sayaka,97866,2015,41,0,NMB48,Senbatsu Member,1993/07/14,24,21,B,Osaka,"24 Years, 6 Months, 23 Days",,35,Oba Mina,5411,2011,22,NEW,AKB48,Undergirls Member,1992/04/03,25,19,A,Kanagawa,"25 Years, 10 Months, 3 Days",,37,Sakaguchi Riko,20936,2015,41,23,HKT48,Next Girls Member,1994/07/26,23,20,A,Fukuoka,"23 Years, 6 Months, 11 Days"
7,Miyawaki Sakura,81422,2015,41,4,HKT48,Senbatsu Member,1998/03/19,19,17,A,Kagoshima,"19 Years, 10 Months, 18 Days",,57,Oba Mina,5969,2012,27,-22,AKB48,Future Girls Member,1992/04/03,25,20,A,Kanagawa,"25 Years, 10 Months, 3 Days",,37,Kizaki Yuria,25039,2016,45,-15,AKB48,Next Girls Member,1996/02/11,21,20,O,Aichi,"21 Years, 11 Months, 26 Days"
8,Miyazawa Sae,75495,2015,41,4,SNH48,Senbatsu Member,1990/08/13,27,24,O,Tokyo,"27 Years, 5 Months, 24 Days",,48,Oba Mina,15064,2013,32,9,AKB48,Next Girls Member,1992/04/03,25,21,A,Kanagawa,"25 Years, 10 Months, 3 Days",,37,Yabuki Nako,25364,2017,49,-9,HKT48,Next Girls Member,2001/06/18,16,16,**,Tokyo,"16 Years, 7 Months, 19 Days"
9,Shimazaki Haruka,73803,2015,41,-2,AKB48,Senbatsu Member,1994/03/30,23,21,A,Saitama,"23 Years, 10 Months, 7 Days",,56,Oba Mina,14555,2014,37,-8,SKE48,Future Girls Member,1992/04/03,25,22,A,Kanagawa,"25 Years, 10 Months, 3 Days",,38,Yagami Kumi,1909,2010,17,NEW,SKE48,Undergirls Member,1994/06/13,23,16,A,Aichi,"23 Years, 7 Months, 24 Days"
10,Yokoyama Yui,63414,2015,41,3,AKB48,Senbatsu Member,1992/12/08,25,22,B,Kyoto,"25 Years, 1 Months, 29 Days",,27,Oba Mina,24708,2015,41,29,SKE48,Undergirls Member,1992/04/03,25,23,A,Kanagawa,"25 Years, 10 Months, 3 Days",,38,Matsui Sakiko,5020,2011,22,NEW,AKB48,Undergirls Member,1990/12/10,27,20,O,Saitama,"27 Years, 1 Months, 27 Days"
11,Kitahara Rie,61566,2015,41,8,NGT48,Senbatsu Member,1991/06/24,26,24,A,Aichi,"26 Years, 7 Months, 13 Days",,22,Oba Mina,32118,2016,45,5,SKE48,Undergirls Member,1992/04/03,25,24,A,Kanagawa,"25 Years, 10 Months, 3 Days",,38,Miyazaki Miho,8173,2012,27,-11,AKB48,Next Girls Member,1993/07/30,24,18,O,Tokyo,"24 Years, 6 Months, 7 Days"
12,Watanabe Miyuki,55715,2015,41,6,NMB48,Senbatsu Member,1993/09/19,24,21,B,Nara,"24 Years, 4 Months, 18 Days",,26,Oba Mina,28554,2017,49,-4,SKE48,Undergirls Member,1992/04/03,25,25,A,Kanagawa,"25 Years, 10 Months, 3 Days",,38,Tano Yuuka,18125,2013,32,7,AKB48,Next Girls Member,1997/03/07,20,16,O,Tokyo,"20 Years, 10 Months, 30 Days"
13,Matsumura Kaori,53667,2015,41,4,SKE48,Senbatsu Member,1990/01/17,28,25,O,Saitama,"28 Years, 0 Months, 20 Days",,72,Obata Yuna,16511,2017,49,NEW,SKE48,Upcoming Girls Member,2001/12/18,16,15,O,Aichi,"16 Years, 1 Months, 19 Days",,38,Tashima Meru,18875,2014,37,17,HKT48,Next Girls Member,2000/01/07,18,14,B,Fukuoka,"18 Years, 0 Months, 30 Days"
14,Takayanagi Akane,52609,2015,41,17,SKE48,Senbatsu Member,1991/11/29,26,23,B,Aichi,"26 Years, 2 Months, 8 Days",,92,Oda Erina,11750,2017,49,NEW,AKB48,No Membership,1997/04/25,20,20,A,Kanagawa,"20 Years, 9 Months, 12 Days",,38,Futamura Haruka,20590,2015,41,-4,SKE48,Next Girls Member,1996/05/14,21,19,O,Aichi,"21 Years, 8 Months, 23 Days"
15,Shibata Aya,49199,2015,41,0,SKE48,Senbatsu Member,1993/04/01,24,22,B,Aichi,"24 Years, 10 Months, 5 Days",,60,Ogasawara Mayu,5919,2012,27,NEW,NMB48,Future Girls Member,1994/04/11,23,18,A,Osaka,"23 Years, 9 Months, 26 Days",,38,Sasaki Yukari,24059,2016,45,12,AKB48,Next Girls Member,1995/08/28,22,20,B,Saitama,"22 Years, 5 Months, 9 Days"
16,Mutou Tomu,44637,2015,41,8,AKB48,Senbatsu Member,1994/11/25,23,20,B,Tokyo,"23 Years, 2 Months, 12 Days",,54,Ogasawara Mayu,13442,2013,32,6,NMB48,Future Girls Member,1994/04/11,23,19,A,Osaka,"23 Years, 9 Months, 26 Days",,38,Tomiyoshi Asuka,24996,2017,49,4,HKT48,Next Girls Member,1997/09/20,20,19,O,Miyazaki,"20 Years, 4 Months, 17 Days"
17,Kodama Haruka,43985,2015,41,4,HKT48,Undergirls Center,1996/09/19,21,18,O,Fukuoka,"21 Years, 4 Months, 18 Days",,76,Ogasawara Mayu,9946,2014,37,-22,SKE48,Upcoming Girls Member,1994/04/11,23,20,A,Osaka,"23 Years, 9 Months, 26 Days",,39,Matsubara Natsumi,1854,2010,17,-9,AKB48,Undergirls Member,1990/06/19,27,20,B,Fukuoka,"27 Years, 7 Months, 18 Days"
18,Suda Akari,43665,2015,41,-8,SKE48,Undergirls Member,1991/10/31,26,23,A,Aichi,"26 Years, 3 Months, 6 Days",,95,Ogino Yuka,9403,2016,45,NEW,NGT48,No Membership,1999/02/16,18,17,A,Saitama,"18 Years, 11 Months, 21 Days",,39,Ichikawa Miori,4928,2011,22,NEW,AKB48,Undergirls Member,1994/02/12,23,17,"O (""The shape of a lemon"")",Saitama,"23 Years, 11 Months, 25 Days"
19,Minegishi Minami,35506,2015,41,3,AKB48,Undergirls Member,1992/11/15,25,22,B,Tokyo,"25 Years, 2 Months, 22 Days",,5,Ogino Yuka,73368,2017,49,90,NGT48,Senbatsu Member,1999/02/16,18,18,A,Saitama,"18 Years, 11 Months, 21 Days",,39,Nagao Mariya,7809,2012,27,NEW,AKB48,Next Girls Member,1994/03/10,23,18,O,Kanagawa,"23 Years, 10 Months, 27 Days"
20,Oya Masana,30021,2015,41,10,SKE48,Undergirls Member,1990/11/06,27,24,AB,Aichi,"27 Years, 3 Months, 0 Days",,32,Ogiso Shiori,9596,2012,27,NEW,SKE48,Undergirls Member,1992/09/15,25,19,A,Aichi,"25 Years, 4 Months, 22 Days",,39,Umemoto Madoka,17819,2013,32,NEW,SKE48,Next Girls Member,1992/07/17,25,20,O,Aichi,"25 Years, 6 Months, 20 Days"
21,Tomonaga Mio,28197,2015,41,6,HKT48,Undergirls Member,1998/05/17,19,17,O,Fukuoka,"19 Years, 8 Months, 20 Days",,51,Oguri Yui,21296,2017,49,NEW,AKB48,Future Girls Member,2001/12/26,16,15,**,Tokyo,"16 Years, 1 Months, 11 Days",,39,Anai Chihiro,18825,2014,37,-6,AKB48,Next Girls Member,1996/01/27,21,18,AB,Fukuoka,"22 Years, 0 Months, 10 Days"
22,Kizaki Yuria,26994,2015,41,1,AKB48,Undergirls Member,1996/02/11,21,19,O,Aichi,"21 Years, 11 Months, 26 Days",,24,Ohori Megumi,1316,2009,13,NEW,AKB48,Undergirls Member,1983/08/25,34,25,A,Tokyo,"34 Years, 5 Months, 12 Days",,39,Uchiyama Natsuki,20437,2015,41,24,AKB48,Next Girls Member,1995/09/25,22,19,A,Kanagawa,"22 Years, 4 Months, 12 Days"
23,Tani Marika,26051,2015,41,NEW,SKE48,Undergirls Member,1996/01/05,22,19,B,Fukuoka,"22 Years, 1 Months, 1 Days",,57,Okada Ayaka,18524,2016,45,NEW,AKB48,Future Girls Member,1998/11/06,19,17,A,Tokyo,"19 Years, 3 Months, 0 Days",,39,Yabushita Shu,23251,2016,45,21,NMB48,Next Girls Member,1998/12/02,19,17,AB,Osaka,"19 Years, 2 Months, 4 Days"
24,Furuhata Nao,25650,2015,41,31,SKE48,Undergirls Member,1996/09/15,21,18,O,Aichi,"21 Years, 4 Months, 22 Days",,42,Okada Kanna,19739,2015,41,NEW,HKT48,Next Girls Member,1997/06/26,20,18,A,Fukuoka,"20 Years, 7 Months, 11 Days",,39,Murase Sae,24585,2017,49,49,NMB48,Next Girls Member,1997/03/30,20,20,A,Osaka,"20 Years, 10 Months, 7 Days"
25,Takahashi Juri,25421,2015,41,3,AKB48,Undergirls Member,1997/10/03,20,17,A,Ibaraki,"20 Years, 4 Months, 3 Days",,51,Okada Nana,15873,2014,37,NEW,SKE48,Future Girls Member,1997/11/07,20,16,A,Osaka,"20 Years, 2 Months, 30 Days",,40,Ishiguro Atsuki,1604,2010,17,NEW,AKB48,Undergirls Member,1993/09/24,24,16,**,Saitama,"24 Years, 4 Months, 13 Days"
26,Kojima Mako,25110,2015,41,10,AKB48,Undergirls Member,1997/05/30,20,18,O,Tokyo,"20 Years, 8 Months, 7 Days",,29,Okada Nana,23237,2015,41,22,AKB48,Undergirls Member,1997/11/07,20,17,A,Osaka,"20 Years, 2 Months, 30 Days",,40,Fujie Reina,4698,2011,22,-7,AKB48,Undergirls Member,1994/02/01,23,17,B,Chiba,"24 Years, 0 Months, 5 Days"
27,Oba Mina,24708,2015,41,29,SKE48,Undergirls Member,1992/04/03,25,23,A,Kanagawa,"25 Years, 10 Months, 3 Days",,14,Okada Nana,43318,2016,45,15,AKB48,Senbatsu Member,1997/11/07,20,18,A,Osaka,"20 Years, 2 Months, 30 Days",,40,Fujie Reina,7782,2012,27,0,AKB48,Next Girls Member,1994/02/01,23,18,B,Chiba,"24 Years, 0 Months, 5 Days"
28,Kato Rena,24569,2015,41,4,AKB48,Undergirls Member,1997/07/10,20,17,B,Chiba,"20 Years, 6 Months, 27 Days",,9,Okada Nana,48143,2017,49,5,AKB48,Senbatsu Member,1997/11/07,20,19,A,Osaka,"20 Years, 2 Months, 30 Days",,40,Jonishi Kei,17381,2013,32,NEW,NMB48,Next Girls Member,1995/03/18,22,18,A,Shiga,"22 Years, 10 Months, 19 Days"
29,Okada Nana,23237,2015,41,22,AKB48,Undergirls Member,1997/11/07,20,17,A,Osaka,"20 Years, 2 Months, 30 Days",,25,Okita Ayaka,29517,2016,45,NEW,NMB48,Undergirls Member,1995/10/11,22,20,AB,Hiroshima,"22 Years, 3 Months, 26 Days",,40,Kinoshita Yukiko,18822,2014,37,NEW,HKT48,Next Girls Member,1993/12/20,24,20,O,Aichi,"24 Years, 1 Months, 17 Days"
30,Takajo Aki,22502,2015,41,-4,AKB48,Undergirls Member,1991/10/03,26,23,B,Tokyo,"26 Years, 4 Months, 3 Days",,48,Okita Ayaka,22264,2017,49,-23,NMB48,Next Girls Member,1995/10/11,22,21,AB,Hiroshima,"22 Years, 3 Months, 26 Days",,40,Yagura Fuuko,20354,2015,41,1,NMB48,Next Girls Member,1997/02/24,20,18,A,Osaka,"20 Years, 11 Months, 13 Days"
31,Fuchigami Mai,22487,2015,41,NEW,HKT48,Undergirls Member,1996/09/21,21,18,A,Fukuoka,"21 Years, 4 Months, 16 Days",,67,Omori Miyuu,14669,2015,41,NEW,AKB48,Upcoming Girls Member,1998/09/03,19,16,B,Kanagawa,"19 Years, 5 Months, 3 Days",,40,Fuchigami Mai,22995,2016,45,-9,HKT48,Next Girls Member,1996/09/21,21,19,A,Fukuoka,"21 Years, 4 Months, 16 Days"
32,Tashima Meru,22191,2015,41,6,HKT48,Undergirls Member,2000/01/07,18,15,B,Fukuoka,"18 Years, 0 Months, 30 Days",,73,Omori Miyuu,14177,2016,45,-6,AKB48,Upcoming Girls Member,1998/09/03,19,17,B,Kanagawa,"19 Years, 5 Months, 3 Days",,40,Tashima Meru,24458,2017,49,3,HKT48,Next Girls Member,2000/01/07,18,17,B,Fukuoka,"18 Years, 0 Months, 30 Days"
33,Anai Chihiro,22146,2015,41,NEW,HKT48,Next Girls Center,1996/01/27,21,19,AB,Fukuoka,"22 Years, 0 Months, 10 Days",,75,Omori Miyuu,16162,2017,49,-2,AKB48,Upcoming Girls Member,1998/09/03,19,18,B,Kanagawa,"19 Years, 5 Months, 3 Days",,41,Kobayashi Kana,7195,2012,27,NEW,AKB48,Next Girls Member,1991/05/17,26,21,B,Saitama,"26 Years, 8 Months, 20 Days"
34,Shiroma Miru,21577,2015,41,9,NMB48,Next Girls Member,1997/10/14,20,17,B,Osaka,"20 Years, 3 Months, 23 Days",,11,Ono Erena,1838,2009,13,NEW,AKB48,Senbatsu Member,1993/11/26,24,15,A,Tokyo,"24 Years, 2 Months, 11 Days",,41,Matsumoto Rina,16715,2013,32,NEW,SKE48,Next Girls Member,1993/09/03,24,19,O,Aichi,"24 Years, 5 Months, 3 Days"
35,Fujie Reina,21388,2015,41,-2,NMB48,Next Girls Member,1994/02/01,23,21,B,Chiba,"24 Years, 0 Months, 5 Days",,15,Ono Erena,9468,2010,17,-4,AKB48,Senbatsu Member,1993/11/26,24,16,A,Tokyo,"24 Years, 2 Months, 11 Days",,41,Yagura Fuuko,18596,2014,37,3,SKE48,Next Girls Member,1997/02/24,20,17,A,Osaka,"20 Years, 11 Months, 13 Days"
36,Jonishi Kei,21135,2015,41,22,NMB48,Next Girls Member,1995/03/18,22,20,A,Shiga,"22 Years, 10 Months, 19 Days",,20,Oota Aika,1365,2009,13,NEW,AKB48,Senbatsu Member,1994/12/08,23,14,O,Saitama,"23 Years, 1 Months, 29 Days",,41,Ota Aika,19921,2015,41,1,HKT48,Next Girls Member,1994/12/08,23,20,O,Saitama,"23 Years, 1 Months, 29 Days"
37,Sakaguchi Riko,20936,2015,41,23,HKT48,Next Girls Member,1994/07/26,23,20,A,Fukuoka,"23 Years, 6 Months, 11 Days",,22,Oota Aika,6145,2010,17,-2,AKB48,Undergirls Center,1994/12/08,23,15,O,Saitama,"23 Years, 1 Months, 29 Days",,41,Fujie Reina,22429,2016,45,-6,NMB48,Next Girls Member,1994/02/01,23,22,B,Chiba,"24 Years, 0 Months, 5 Days"
38,Futamura Haruka,20590,2015,41,-4,SKE48,Next Girls Member,1996/05/14,21,19,O,Aichi,"21 Years, 8 Months, 23 Days",,25,Oota Aika,9910,2011,22,-3,AKB48,Undergirls Member,1994/12/08,23,16,O,Saitama,"23 Years, 1 Months, 29 Days",,41,Nishigata Marina,24401,2017,49,NEW,NGT48,Next Girls Member,1995/10/16,22,21,O,Tokyo,"22 Years, 3 Months, 21 Days"
39,Uchiyama Natsuki,20437,2015,41,24,AKB48,Next Girls Member,1995/09/25,22,19,A,Kanagawa,"22 Years, 4 Months, 12 Days",,29,Ooya Shizuka,7264,2011,22,NEW,AKB48,Undergirls Member,1991/12/28,26,19,O,Fukuoka,"26 Years, 1 Months, 9 Days",,42,Maeda Ami,7168,2012,27,-5,AKB48,Next Girls Member,1995/06/01,22,17,O,Tokyo,"22 Years, 8 Months, 5 Days"
40,Yagura Fuuko,20354,2015,41,1,NMB48,Next Girls Member,1997/02/24,20,18,A,Osaka,"20 Years, 11 Months, 13 Days",,80,Oshima Ryoka,9561,2014,37,-51,HKT48,Upcoming Girls Member,1998/10/21,19,15,O,Kanagawa,"19 Years, 3 Months, 16 Days",,42,Saito Makiko,16508,2013,32,NEW,SKE48,Next Girls Member,1994/06/28,23,19,A,Osaka,"23 Years, 7 Months, 9 Days"
41,Ota Aika,19921,2015,41,1,HKT48,Next Girls Member,1994/12/08,23,20,O,Saitama,"23 Years, 1 Months, 29 Days",,32,Oshima Ryoka,28260,2016,45,REENTER,AKB48,Undergirls Member,1998/10/21,19,17,O,Kanagawa,"19 Years, 3 Months, 16 Days",,42,Ota Aika,18143,2014,37,1,NMB48,Next Girls Member,1994/12/08,23,19,O,Saitama,"23 Years, 1 Months, 29 Days"
42,Okada Kanna,19739,2015,41,NEW,HKT48,Next Girls Member,1997/06/26,20,18,A,Fukuoka,"20 Years, 7 Months, 11 Days",,2,Oshima Yuko,3345,2009,13,NEW,AKB48,Senbatsu Member,1988/10/17,29,20,B,Tochigi,"29 Years, 3 Months, 20 Days",,42,Okada Kanna,19739,2015,41,NEW,HKT48,Next Girls Member,1997/06/26,20,18,A,Fukuoka,"20 Years, 7 Months, 11 Days"
43,Moriyasu Madoka,19401,2015,41,-18,HKT48,Next Girls Member,1997/07/26,20,17,A,Nagasaki,"20 Years, 6 Months, 11 Days",,1,Oshima Yuko,31448,2010,17,1,AKB48,Senbatsu Center,1988/10/17,29,21,B,Tochigi,"29 Years, 3 Months, 20 Days",,42,Tomiyoshi Asuka,21881,2016,45,NEW,HKT48,Next Girls Member,1997/09/20,20,18,O,Miyazaki,"20 Years, 4 Months, 17 Days"
44,Mukaichi Mion,18392,2015,41,NEW,AKB48,Next Girls Member,1998/01/29,19,17,O,Saitama,"20 Years, 0 Months, 8 Days",,2,Oshima Yuko,122843,2011,22,-1,AKB48,Senbatsu Member,1988/10/17,29,22,B,Tochigi,"29 Years, 3 Months, 20 Days",,42,Iwatate Saho,24303,2017,49,9,AKB48,Next Girls Member,1994/10/04,23,22,B,Kanagawa,"23 Years, 4 Months, 2 Days"
45,Miyamae Ami,18245,2015,41,NEW,SKE48,Next Girls Member,1997/09/09,20,17,A,Aichi,"20 Years, 4 Months, 28 Days",,1,Oshima Yuko,108837,2012,27,1,AKB48,Senbatsu Center,1988/10/17,29,23,B,Tochigi,"29 Years, 3 Months, 20 Days",,43,Fukumoto Aina,6912,2012,27,NEW,NMB48,Next Girls Member,1993/03/25,24,19,**,Nara,"24 Years, 10 Months, 12 Days"
46,Kojina Yui,18085,2015,41,NEW,HKT48,Next Girls Member,1998/01/24,19,17,AB,Fukuoka,"20 Years, 0 Months, 13 Days",,2,Oshima Yuko,136503,2013,32,-1,AKB48,Senbatsu Member,1988/10/17,29,24,B,Tochigi,"29 Years, 3 Months, 20 Days",,43,Ota Aika,16401,2013,32,9,HKT48,Next Girls Member,1994/12/08,23,18,O,Saitama,"23 Years, 1 Months, 29 Days"
47,Tano Yuuka,18048,2015,41,-2,AKB48,Next Girls Member,1997/03/07,20,18,O,Tokyo,"20 Years, 10 Months, 30 Days",,52,Ota Aika,6140,2012,27,NEW,AKB48,Future Girls Member,1994/12/08,23,17,O,Saitama,"23 Years, 1 Months, 29 Days",,43,Shiroma Miru,17745,2014,37,NEW,HKT48,Next Girls Member,1997/10/14,20,16,B,Osaka,"20 Years, 3 Months, 23 Days"
48,Kimoto Kanon,18021,2015,41,2,SKE48,Next Girls Member,1997/08/11,20,17,AB,Aichi,"20 Years, 5 Months, 26 Days",,43,Ota Aika,16401,2013,32,9,HKT48,Next Girls Member,1994/12/08,23,18,O,Saitama,"23 Years, 1 Months, 29 Days",,43,Moriyasu Madoka,19401,2015,41,-18,HKT48,Next Girls Member,1997/07/26,20,17,A,Nagasaki,"20 Years, 6 Months, 11 Days"
49,Sato Sumire,17579,2015,41,REENTER,SKE48,Future Girls Center,1993/11/20,24,21,O,Saitama,"24 Years, 2 Months, 17 Days",,42,Ota Aika,18143,2014,37,1,NMB48,Next Girls Member,1994/12/08,23,19,O,Saitama,"23 Years, 1 Months, 29 Days",,43,Tashima Meru,21864,2016,45,-11,HKT48,Next Girls Member,2000/01/07,18,16,B,Fukuoka,"18 Years, 0 Months, 30 Days"
50,Sasaki Yukari,17466,2015,41,-3,AKB48,Future Girls Member,1995/08/28,22,19,B,Saitama,"22 Years, 5 Months, 9 Days",,41,Ota Aika,19921,2015,41,1,HKT48,Next Girls Member,1994/12/08,23,20,O,Saitama,"23 Years, 1 Months, 29 Days",,43,Sasaki Yukari,24276,2017,49,-5,AKB48,Next Girls Member,1995/08/28,22,21,B,Saitama,"22 Years, 5 Months, 9 Days"
51,Matsuoka Natsumi,17387,2015,41,13,HKT48,Future Girls Member,1996/08/08,21,18,O,Fukuoka,"21 Years, 5 Months, 29 Days",,65,Ota Nao,17757,2017,49,NEW,AKB48,Upcoming Girls Center,1994/12/05,23,22,AB,Kyoto,"23 Years, 2 Months, 1 Days",,44,Nakagawa Haruka,6890,2012,27,-20,AKB48,Next Girls Member,1992/02/10,25,20,O,Tokyo,"25 Years, 11 Months, 27 Days"
52,Goto Risako,17330,2015,41,NEW,SKE48,Future Girls Member,1997/05/29,20,18,A,Aichi,"20 Years, 8 Months, 8 Days",,52,Ota Yuuri,19534,2016,45,NEW,NMB48,Future Girls Member,1999/12/01,18,16,AB,Nara,"18 Years, 2 Months, 5 Days",,44,Yagura Fuuko,16281,2013,32,NEW,NMB48,Next Girls Member,1997/02/24,20,16,A,Osaka,"20 Years, 11 Months, 13 Days"
53,Isohara Kyoka,17278,2015,41,-9,SKE48,Future Girls Member,1996/08/08,21,18,O,Aichi,"21 Years, 5 Months, 29 Days",,27,Ota Yuuri,28457,2017,49,25,NMB48,Undergirls Member,1999/12/01,18,17,AB,Nara,"18 Years, 2 Months, 5 Days",,44,Isohara Kyoka,17616,2014,37,14,NMB48,Next Girls Member,1996/08/08,21,17,O,Aichi,"21 Years, 5 Months, 29 Days"
54,Kotani Riho,17132,2015,41,7,NMB48,Future Girls Member,1994/08/24,23,20,A,Kyoto,"23 Years, 5 Months, 13 Days",,75,Owada Nana,13685,2015,41,NEW,AKB48,Upcoming Girls Member,1999/09/15,18,15,A,Chiba,"18 Years, 4 Months, 22 Days",,44,Mukaichi Mion,18392,2015,41,NEW,AKB48,Next Girls Member,1998/01/29,19,17,O,Saitama,"20 Years, 0 Months, 8 Days"
