GROUPED BY YEAR AND SORTED BY POSITION,,,,,,,,,,,,,,,SORTED ALPHABETICALLY,,,,,,,,,,,,,,,GROUPED BY POSITION AND SORTED BY YEAR,,,,,,,,,,,,,
#,Name,Votes,Year,Single#,Change,Group,Membership,Birthdate,CurrentAge,SenbatsuAge,Blood,Birthplace,CurrentAge,,#,Name,Votes,Year,Single#,Change,Group,Membership,Birthdate,CurrentAge,SenbatsuAge,Blood,Birthplace,CurrentAge,,#,Name,Votes,Year,Single#,Change,Group,Membership,Birthdate,CurrentAge,SenbatsuAge,Blood,Birthplace,CurrentAge
17,Akimoto Sayaka,8049,2010,17,-5,AKB48,Senbatsu Member,1988/07/26,29,21,B,Chiba,"29 Years, 6 Months, 11 Days",,25,Hata Sawako,13920,2012,27,8,SKE48,Undergirls Member,1988/09/14,29,23,A,Osaka,"29 Years, 4 Months, 23 Days",,6,Takahashi Minami,17787,2010,17,-1,AKB48,Senbatsu Member,1991/04/08,26,19,AB,Tokyo,"26 Years, 9 Months, 29 Days"
18,Sato Amina,6921,2010,17,-10,AKB48,Senbatsu Member,1990/10/16,27,19,O,Tokyo,"27 Years, 3 Months, 21 Days",,79,Hidaka Yuzuki,13204,2016,45,NEW,SKE48,Upcoming Girls Member,1998/04/01,19,18,O,Aichi,"19 Years, 10 Months, 5 Days",,6,Kojima Haruna,52920,2011,22,1,AKB48,Senbatsu Member,1988/04/19,29,23,O,Saitama,"29 Years, 9 Months, 18 Days"
19,Sashihara Rino,6704,2010,17,8,AKB48,Senbatsu Member,1992/11/21,25,17,O,Oita,"25 Years, 2 Months, 16 Days",,86,Hidaka Yuzuki,13660,2017,49,-7,SKE48,No Membership,1998/04/01,19,19,O,Aichi,"19 Years, 10 Months, 5 Days",,6,Takahashi Minami,65480,2012,27,1,AKB48,Senbatsu Member,1991/04/08,26,21,AB,Tokyo,"26 Years, 9 Months, 29 Days"
20,Nakagawa Haruka,6567,2010,17,NEW,AKB48,Senbatsu Member,1992/02/10,25,18,O,Tokyo,"25 Years, 11 Months, 27 Days",,26,Hirajima Natsumi,1216,2009,13,NEW,AKB48,Undergirls Member,1992/05/28,25,17,O,Tokyo,"25 Years, 8 Months, 9 Days",,6,Matsui Jurina,77170,2013,32,3,SKE48,Senbatsu Member,1997/03/08,20,16,B,Aichi,"20 Years, 10 Months, 29 Days"
21,Miyazaki Miho,6371,2010,17,-3,AKB48,Senbatsu Member,1993/07/30,24,16,O,Tokyo,"24 Years, 6 Months, 7 Days",,26,Hirajima Natsumi,4106,2010,17,0,AKB48,Undergirls Member,1992/05/28,25,18,O,Tokyo,"25 Years, 8 Months, 9 Days",,6,Yamamoto Sayaka,67916,2014,37,8,NMB48,Senbatsu Member,1993/07/14,24,20,B,Osaka,"24 Years, 6 Months, 23 Days"
22,Oota Aika,6145,2010,17,-2,AKB48,Undergirls Center,1994/12/08,23,15,O,Saitama,"23 Years, 1 Months, 29 Days",,26,Hirajima Natsumi,9742,2011,22,0,AKB48,Undergirls Member,1992/05/28,25,19,O,Tokyo,"25 Years, 8 Months, 9 Days",,6,Yamamoto Sayaka,97866,2015,41,0,NMB48,Senbatsu Member,1993/07/14,24,21,B,Osaka,"24 Years, 6 Months, 23 Days"
23,Kuramochi Asuka,5355,2010,17,-2,AKB48,Undergirls Member,1989/09/11,28,20,A,Kanagawa,"28 Years, 4 Months, 26 Days",,62,Hirajima Natsumi,11806,2013,32,REENTER,AKB48,Future Girls Member,1992/05/28,25,21,O,Tokyo,"25 Years, 8 Months, 9 Days",,6,Miyawaki Sakura,78279,2016,45,1,HKT48,Senbatsu Member,1998/03/19,19,18,A,Kagoshima,"19 Years, 10 Months, 18 Days"
24,Oya Masana,4634,2010,17,NEW,SKE48,Undergirls Member,1990/11/06,27,19,AB,Aichi,"27 Years, 3 Months, 0 Days",,73,Hiwatashi Yui,16492,2017,49,NEW,AKB48,Upcoming Girls Member,2000/04/30,17,17,A,Saitama,"17 Years, 9 Months, 7 Days",,6,Suda Akari,63124,2017,49,1,SKE48,Senbatsu Member,1991/10/31,26,25,A,Aichi,"26 Years, 3 Months, 6 Days"
25,Masuda Yuka,4137,2010,17,0,AKB48,Undergirls Member,1991/08/03,26,18,B,Osaka,"26 Years, 6 Months, 3 Days",,13,Honma Hinata,41230,2017,49,NEW,NGT48,Senbatsu Member,1999/11/10,18,17,B,Niigata,"18 Years, 2 Months, 27 Days",,7,Itano Tomomi,2281,2009,13,NEW,AKB48,Senbatsu Member,1991/07/03,26,17,A,Kanagawa,"26 Years, 7 Months, 3 Days"
26,Hirajima Natsumi,4106,2010,17,0,AKB48,Undergirls Member,1992/05/28,25,18,O,Tokyo,"25 Years, 8 Months, 9 Days",,39,Ichikawa Miori,4928,2011,22,NEW,AKB48,Undergirls Member,1994/02/12,23,17,"O (""The shape of a lemon"")",Saitama,"23 Years, 11 Months, 25 Days",,7,Kojima Haruna,16231,2010,17,-1,AKB48,Senbatsu Member,1988/04/19,29,22,O,Saitama,"29 Years, 9 Months, 18 Days"
27,Ishida Haruka,3235,2010,17,NEW,AKB48,Undergirls Member,1993/12/02,24,16,A,Saitama,"24 Years, 2 Months, 4 Days",,58,Ichikawa Miori,5963,2012,27,-19,AKB48,Future Girls Member,1994/02/12,23,18,"O (""The shape of a lemon"")",Saitama,"23 Years, 11 Months, 25 Days",,7,Takahashi Minami,52790,2011,22,-1,AKB48,Senbatsu Member,1991/04/08,26,20,AB,Tokyo,"26 Years, 9 Months, 29 Days"
28,Shimazaki Haruka,3076,2010,17,NEW,AKB48,Undergirls Member,1994/03/30,23,16,A,Saitama,"23 Years, 10 Months, 7 Days",,57,Ichikawa Miori,12616,2013,32,1,AKB48,Future Girls Member,1994/02/12,23,19,"O (""The shape of a lemon"")",Saitama,"23 Years, 11 Months, 25 Days",,7,Kojima Haruna,54483,2012,27,-1,AKB48,Senbatsu Member,1988/04/19,29,24,O,Saitama,"29 Years, 9 Months, 18 Days"
